Unnamed: 0,name,data
0,C Major Scale,"['C4', 0.25, 1, 'D4', 0.25, 2, 'E4', 0.25, 3, 'F4', 0.25, 1, 'G4', 0.25, 2, 'A4', 0.25, 3, 'B4', 0.25, 4, 'C5', 0.25, 5, 'B4', 0.25, 4, 'A4', 0.25, 3, 'G4', 0.25, 2, 'F4', 0.25, 1, 'E4', 0.25, 3, 'D4', 0.25, 2, 'C4', 0.25, 1]"
1,D Major Scale,"['D4', 0.25, 1, 'E4', 0.25, 2, 'F#4', 0.25, 3, 'G4', 0.25, 1, 'A4', 0.25, 2, 'B4', 0.25, 3, 'C#5', 0.25, 4, 'D5', 0.25, 5, 'C#5', 0.25, 4, 'B4', 0.25, 3, 'A4', 0.25, 2, 'G4', 0.25, 1, 'F#4', 0.25, 3, 'E4', 0.25, 2, 'D4', 0.25, 1]"
0,E Major Scale,"[['E4', 0.25, 1, 'F#4', 0.25, 2, 'G#4', 0.25, 3, 'A4', 0.25, 1, 'B4', 0.25, 2, 'C#5', 0.25, 3, 'D#5', 0.25, 4, 'E5', 0.25, 5, 'D#5', 0.25, 4, 'C#5', 0.25, 3, 'B4', 0.25, 2, 'A4', 0.25, 1, 'G4', 0.25, 3, 'F#4', 0.25, 2, 'E4', 0.25, 1]]"
,F Major Scale,"[['F4', 0.25, 1, 'G4', 0.25, 2, 'A4', 0.25, 3, 'A#4', 0.25, 1, 'C5', 0.25, 2, 'D5', 0.25, 3, 'E5', 0.25, 4, 'F5', 0.25, 5, 'E5', 0.25, 4, 'D5', 0.25, 3, 'C5', 0.25, 2, 'A#4', 0.25, 1, 'A4', 0.25, 3, 'G4', 0.25, 2, 'F4', 0.25, 1]]"
,G Major Scale,"[['G4', 0.25, 1, 'A4', 0.25, 2, 'B4', 0.25, 3, 'C5', 0.25, 1, 'D5', 0.25, 2, 'E5', 0.25, 3, 'F#5', 0.25, 4, 'G5', 0.25, 5, 'F#5', 0.25, 4, 'E5', 0.25, 3, 'D5', 0.25, 2, 'C5', 0.25, 1, 'B4', 0.25, 3, 'A4', 0.25, 2, 'G4', 0.25, 1]]"
,A Major Scale,"[['A4', 0.25, 1, 'B4', 0.25, 2, 'C#5', 0.25, 3, 'D5', 0.25, 1, 'E5', 0.25, 2, 'F#5', 0.25, 3, 'G#5', 0.25, 4, 'A5', 0.25, 5, 'G#5', 0.25, 4, 'F#5', 0.25, 3, 'E5', 0.25, 2, 'D5', 0.25, 1, 'C#5', 0.25, 3, 'B4', 0.25, 2, 'A4', 0.25, 1]]"
,B Major Scale,"[['B4', 0.25, 1, 'C#5', 0.25, 2, 'D#5', 0.25, 3, 'E5', 0.25, 1, 'F#5', 0.25, 2, 'G#5', 0.25, 3, 'A#5', 0.25, 4, 'B5', 0.25, 5, 'A#5', 0.25, 4, 'G#5', 0.25, 3, 'F#5', 0.25, 2, 'E5', 0.25, 1, 'D#5', 0.25, 3, 'C#5', 0.25, 2, 'B4', 0.25, 1]]"
,Twinkle Twinkle Little Star,"['C4', 0.25, 1, 'C4', 0.25, 1, 'G4', 0.25, 4, 'G4', 0.25, 4, 'A4', 0.25, 5, 'A4', 0.25, 5, 'G4', 0.5, 4, 'F4', 0.25, 4, 'F4', 0.25, 4, 'E4', 0.25, 3, 'E4', 0.25, 3, 'D4', 0.25, 2, 'D4', 0.25, 2, 'C4', 0.5, 1, 'G4', 0.25, 5,'G4', 0.25, 5,'F4', 0.25, 4, 'F4', 0.25, 4, 'E4', 0.25, 3, 'E4', 0.25, 3, 'D4', 0.5, 2, 'G4', 0.25, 5,'G4', 0.25, 5,'F4', 0.25, 4, 'F4', 0.25, 4, 'E4', 0.25, 3, 'E4', 0.25, 3, 'D4', 0.5, 2, 'C4', 0.25, 1, 'C4', 0.25, 1, 'G4', 0.25, 4, 'G4', 0.25, 4, 'A4', 0.25, 5, 'A4', 0.25, 5, 'G4', 0.5, 4, 'F4', 0.25, 4, 'F4', 0.25, 4, 'E4', 0.25, 3, 'E4', 0.25, 3, 'D4', 0.25, 2, 'D4', 0.25, 2, 'C4', 0.5, 1]"
,Mary Had a Little Lamb,"['E4', 0.25, 3, 'D4', 0.25, 2, 'C4', 0.25, 1, 'D4', 0.25, 2, 'E4', 0.25, 3, 'E4', 0.25, 3, 'E4', 0.5, 3, 'D4', 0.25, 2, 'D4', 0.25, 2, 'D4', 0.5, 2, 'E4', 0.25, 3, 'G4', 0.25, 5, 'G4', 0.5, 5, 'E4', 0.25, 3, 'D4', 0.25, 2, 'C4', 0.25, 1, 'D4', 0.25, 2, 'E4', 0.25, 3, 'E4', 0.25, 3, 'E4', 0.25, 3,'E4', 0.25, 3, 'D4', 0.25, 2, 'D4', 0.25, 2,'E4', 0.25, 3, 'D4', 0.25, 2, 'C4', 1, 1,]"
,Jingle Bells,"['E4', 0.25, 3, 'E4', 0.25, 3, 'E4', 0.5, 3,'E4', 0.25, 3, 'E4', 0.25, 3, 'E4', 0.5, 3, 'E4', 0.25, 3, 'G4', 0.25, 3, 'E4', 0.25, 3, 'E4', 0.5, 3, 'D4', 0.25, 2, 'D4', 0.25, 2, 'D4', 0.5, 2, 'E4', 0.25, 3, 'G4', 0.25, 5,]"
,Hot Cross Buns,"[['A4', 0.25, 1, 'B4', 0.25, 2, 'C#5', 0.25, 3, 'D5', 0.25, 1, 'E5', 0.25, 2, 'F#5', 0.25, 3, 'G#5', 0.25, 4, 'A5', 0.25, 5, 'G#5', 0.25, 4, 'F#5', 0.25, 3, 'E5', 0.25, 2, 'D5', 0.25, 1, 'C#5', 0.25, 3, 'B4', 0.25, 2, 'A4', 0.25, 1]]"
,Happy Birthday,"[['A4', 0.25, 1, 'B4', 0.25, 2, 'C#5', 0.25, 3, 'D5', 0.25, 1, 'E5', 0.25, 2, 'F#5', 0.25, 3, 'G#5', 0.25, 4, 'A5', 0.25, 5, 'G#5', 0.25, 4, 'F#5', 0.25, 3, 'E5', 0.25, 2, 'D5', 0.25, 1, 'C#5', 0.25, 3, 'B4', 0.25, 2, 'A4', 0.25, 1]]"
,Through the Fire and the Flames,
